
      	X(nS)     	Ch1(mV)      	Ch2(mV)      	Ch3(mV)      	Ch4(mV)      
 302  	17.6540   	57.350582   	-6.030762   	-21.307373  	422.062500  
 303  	17.7126   	57.278683   	-6.224243   	-21.510620  	574.062500  
 304  	17.7713   	57.709957   	-5.643738   	-21.917114  	344.187500  
 305  	17.8299   	57.925655   	-5.708252   	-21.984863  	141.937500  
 306  	17.8886   	56.847530   	-6.546753   	-21.307373  	347.562500  
 307  	17.9472   	56.200554   	-6.546753   	-21.375122  	580.812500  
 308  	18.0059   	55.769405   	-6.353271   	-21.104126  	434.187500  
 309  	18.0645   	54.691280   	-5.966248   	-20.900879  	146.562500  
 310  	18.1232   	55.481812   	-5.772766   	-20.494385  	285.562500  
 311  	18.1818   	55.266235   	-5.514771   	-20.900879  	555.687500  
 312  	18.2405   	55.194336   	-5.385742   	-20.494385  	473.312500  
 313  	18.2991   	54.331905   	-5.579224   	-19.952393  	186.937500  
 314  	18.3578   	54.906860   	-6.030762   	-20.765381  	209.687500  
 315  	18.4164   	55.553711   	-5.901733   	-20.291138  	511.687500  
 316  	18.4751   	54.619381   	-5.708252   	-21.171875  	539.312500  
 317  	18.5337   	54.763058   	-6.159729   	-22.052612  	243.062500  
 318  	18.5924   	54.763058   	-6.546753   	-21.849365  	165.187500  
 319  	18.6510   	54.547482   	-7.191772   	-21.510620  	462.312500  
 320  	18.7097   	53.253780   	-6.611267   	-22.323608  	569.312500  
 321  	18.7683   	53.541256   	-6.030762   	-22.188110  	310.312500  
 322  	18.8270   	53.109982   	-6.224243   	-21.578369  	148.562500  
 323  	18.8856   	52.391232   	-6.224243   	-21.646118  	376.937500  
 324  	18.9443   	51.456909   	-6.030762   	-21.307373  	591.187500  
 325  	19.0029   	51.672482   	-6.095276   	-21.442871  	385.937500  
 326  	19.0616   	50.234982   	-5.901733   	-21.984863  	150.187500  
 327  	19.1202   	49.156857   	-6.417725   	-21.984863  	303.812500  
 328  	19.1789   	48.510006   	-6.030762   	-21.510620  	559.937500  
 329  	19.2375   	46.138058   	-5.966248   	-20.900879  	454.562500  
 330  	19.2962   	45.994381   	-5.966248   	-21.442871  	158.687500  
 331  	19.3548   	44.772457   	-5.837219   	-21.646118  	233.562500  
 332  	19.4135   	44.053707   	-5.643738   	-21.442871  	538.562500  
 333  	19.4721   	42.616211   	-5.901733   	-20.968628  	519.812500  
 334  	19.5308   	41.753784   	-5.514771   	-21.036377  	214.312500  
 335  	19.5894   	40.459961   	-5.643738   	-21.104126  	184.687500  
 336  	19.6481   	40.747437   	-5.837219   	-21.104126  	481.312500  
 337  	19.7067   	39.238155   	-5.837219   	-20.968628  	556.937500  
 338  	19.7654   	38.016235   	-5.772766   	-20.968628  	277.187500  
 339  	19.8240   	36.578732   	-5.321228   	-20.968628  	142.937500  
 340  	19.8827   	36.147461   	-5.643738   	-20.900879  	424.937500  
 341  	19.9413   	34.278687   	-5.514771   	-20.087891  	579.062500  
 342  	20.0000   	33.200558   	-5.321228   	-20.562134  	174.937500  
 343  	20.0587   	31.619381   	-5.385742   	-20.765381  	121.062500  
 344  	20.1173   	31.116209   	-5.514771   	-20.900879  	76.062500   
 345  	20.1760   	30.181883   	-6.224243   	-20.900879  	418.812500  
 346  	20.2346   	28.888060   	-5.901733   	-21.307373  	528.562500  
 347  	20.2933   	27.450562   	-6.030762   	-21.036377  	257.187500  
 348  	20.3519   	26.372435   	-6.095276   	-21.171875  	142.062500  
 349  	20.4106   	24.575560   	-5.579224   	-21.510620  	411.062500  
 350  	20.4692   	21.988157   	-6.417725   	-21.646118  	580.812500  
 351  	20.5279   	20.694334   	-6.159729   	-21.375122  	384.937500  
 352  	20.5865   	19.831909   	-7.062744   	-20.968628  	132.562500  
 353  	20.6452   	18.538086   	-6.675720   	-21.104126  	337.312500  
 354  	20.7038   	16.741209   	-6.740234   	-21.104126  	580.062500  
 355  	20.7625   	14.584960   	-6.030762   	-20.494385  	434.687500  
 356  	20.8211   	13.722533   	-6.611267   	-20.697632  	166.687500  
 357  	20.8798   	11.853759   	-6.611267   	-20.765381  	256.812500  
 358  	20.9384   	10.559936   	-6.095276   	-20.968628  	546.937500  
 359  	20.9971   	10.056884   	-5.708252   	-21.104126  	501.812500  
 360  	21.0557   	8.331909    	-5.966248   	-20.697632  	205.187500  
 361  	21.1144   	7.325561    	-5.966248   	-20.358887  	196.187500  
 362  	21.1730   	5.385009    	-5.514771   	-20.562134  	502.812500  
 363  	21.2317   	3.660034    	-5.385742   	-20.358887  	544.687500  
 364  	21.2903   	1.288086    	-5.643738   	-20.155640  	259.937500  
 365  	21.3490   	-0.436890   	-5.514771   	-20.155640  	166.312500  
 366  	21.4076   	-2.449341   	-5.901733   	-20.697632  	432.812500  
 367  	21.4663   	-4.533813   	-6.095276   	-19.952393  	577.687500  
 368  	21.5249   	-5.971313   	-5.837219   	-20.358887  	307.562500  
 369  	21.5836   	-8.343140   	-5.192261   	-20.629883  	141.062500  
 370  	21.6422   	-10.786864  	-4.998779   	-21.036377  	351.187500  
 371  	21.7009   	-13.086913  	-4.934265   	-21.036377  	581.812500  
 372  	21.7595   	-15.818115  	-5.256775   	-21.307373  	394.687500  
 373  	21.8182   	-17.686890  	-5.514771   	-20.697632  	140.312500  
 374  	21.8768   	-20.130615  	-5.643738   	-20.426636  	287.062500  
 375  	21.9355   	-22.933775  	-5.966248   	-20.697632  	550.437500  
 376  	21.9941   	-24.227539  	-6.288757   	-20.562134  	475.562500  
 377  	22.0528   	-26.527525  	-6.159729   	-20.833130  	167.937500  
 378  	22.1114   	-28.899412  	-6.159729   	-21.036377  	233.937500  
 379  	22.1701   	-30.121275  	-5.256775   	-20.765381  	532.937500  
 380  	22.2287   	-32.564999  	-5.579224   	-20.629883  	529.562500  
